Startdatum,Starttid,Slutdatum,Sluttid,Lokal,Plats,Undervisningstyp,"Grupp,Helklass",Kurs,Delkurs,Moment,Person,Egen text,Anmärkning,Utrustning 
2023-08-29,10:00,2023-08-29,12:00,MC529 - Designstudio,,Föreläsning,,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Sofia Lundmark,Introduktion,,
2023-08-29,13:00,2023-08-29,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Sofia Lundmark,,,
2023-08-30,10:00,2023-08-30,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Camilla Qvick,,,
2023-08-31,10:00,2023-08-31,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,"Martin Jonsson,Mats Nilsson",,,
2023-09-01,10:00,2023-09-01,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Mats Nilsson,,,
2023-09-04,10:00,2023-09-04,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Sofia Lundmark,,,
2023-09-05,10:00,2023-09-05,12:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Sofia Lundmark,,,
2023-09-05,13:00,2023-09-05,15:00,MB313- Svarta lådan,,,,"Design, innovation och kreativitet,Medieteknik A,Medieteknik C",,,Sofia Lundmark,MT-Live,,
2023-09-07,10:00,2023-09-07,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Vincent Demargne,,,
2023-09-08,10:00,2023-09-08,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Sofia Lundmark,,,
2023-09-11,10:00,2023-09-11,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Sofia Lundmark,Empatiarbete (teamarbete),,
2023-09-12,10:00,2023-09-12,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,"Fatima Jonsson,Vincent Demargne",,,
2023-09-14,10:00,2023-09-14,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Sofia Lundmark,,,
2023-09-15,10:00,2023-09-15,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Vincent Demargne,,,
2023-09-18,10:00,2023-09-18,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Sofia Lundmark,,,
2023-09-19,10:00,2023-09-19,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Minna Räsänen,,,
2023-09-20,18:00,2023-09-20,20:00,,--,,,"Design, innovation och kreativitet,Medieteknik A,Medieteknik C",,,,"MT-Live, Plats: Historiska museet, Stockholm.",,
2023-09-21,10:00,2023-09-21,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Fatima Jonsson,,,
2023-09-22,10:00,2023-09-22,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Sofia Lundmark,Prototypande (teamarbete),,
2023-09-25,10:00,2023-09-25,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,"Fatima Jonsson,Sofia Lundmark",,,
2023-09-26,10:00,2023-09-26,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,"Fatima Jonsson,Vincent Demargne",Test (teamarbete),,
2023-09-28,10:00,2023-09-28,15:00,MC529 - Designstudio,,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Fatima Jonsson,Innovationsgrad och iteration med Drivhuset,,
2023-09-29,10:00,2023-09-29,15:00,MC529 - Designstudio,,"Eget arbete,Handledning",,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Fatima Jonsson,Handledning i grupp/Eget arbete med projekt och uppgifter (iteration),,
2023-10-02,10:00,2023-10-02,12:00,MC529 - Designstudio,,Handledning,,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,Sofia Lundmark,Handledning/genrep,,
2023-10-03,13:00,2023-10-03,15:00,MB313- Svarta lådan,,,,"Design, innovation och kreativitet,Medieteknik A,Medieteknik C",,,Sofia Lundmark,MT-Live,,
